时间,一次网供水温度(℃),一次网供水压力(Mpa),一次网回水温度(℃),一次网回水压力(Mpa),东区二次网供水温度(℃),东区二次网供水压力(Mpa),东区二次网回水温度(℃),东区二次网回水压力(Mpa),西区二次网供水温度(℃),西区二次网供水压力(Mpa),西区二次网回水温度(℃),西区二次网回水压力(Mpa),南区二次网供水温度(℃),南区二次网供水压力(Mpa),南区二次网回水温度(℃),南区二次网回水压力(Mpa),北区二次网供水温度(℃),北区二次网供水压力(Mpa),北区二次网回水温度(℃),北区二次网回水压力(Mpa),高区二次网供水温度(℃),高区二次网供水压力(Mpa),高区二次网回水温度(℃),高区二次网回水压力(Mpa),室外温度实际值,气温2m(℃),降水量(mm),降雪量(mm),地表温度(℃),露点温度(℃),相对湿度(%),最大阵风(上一小时内，m/s),"总太阳辐射度(down,J/m2)"
2024年11月01日02时45分00秒,63.22 ,0.53 ,31.70 ,0.20 ,31.44 ,0.63 ,28.63 ,0.47 ,31.36 ,0.51 ,29.40 ,0.37 ,37.01 ,0.41 ,33.12 ,0.31 ,35.65 ,0.53 ,32.44 ,0.36 ,32.30 ,0.70 ,30.05 ,0.62 ,,6.45,0.011,0,5.33,6.09,97.51,3.75,0
2024年11月01日03时00分00秒,64.49 ,0.53 ,31.65 ,0.20 ,31.41 ,0.64 ,28.56 ,0.48 ,31.97 ,0.51 ,29.33 ,0.37 ,37.16 ,0.41 ,33.09 ,0.31 ,35.71 ,0.53 ,32.37 ,0.36 ,32.36 ,0.71 ,30.04 ,0.63 ,,6.47,0.018,0,5.38,6.15,97.82,4.29,0
2024年11月01日03时15分00秒,65.69 ,0.53 ,31.49 ,0.20 ,31.08 ,0.65 ,28.51 ,0.49 ,31.52 ,0.51 ,29.26 ,0.37 ,37.32 ,0.41 ,33.12 ,0.30 ,35.77 ,0.53 ,32.32 ,0.36 ,32.15 ,0.72 ,29.99 ,0.64 ,,6.47,0.018,0,5.38,6.15,97.82,4.29,0
2024年11月01日03时30分00秒,66.50 ,0.53 ,31.69 ,0.19 ,31.53 ,0.61 ,28.46 ,0.45 ,31.50 ,0.51 ,29.24 ,0.37 ,37.42 ,0.40 ,33.14 ,0.30 ,35.80 ,0.53 ,32.28 ,0.36 ,31.81 ,0.71 ,29.98 ,0.63 ,,6.47,0.018,0,5.38,6.15,97.82,4.29,0
2024年11月01日03时45分00秒,68.43 ,0.53 ,31.82 ,0.19 ,31.61 ,0.62 ,28.42 ,0.46 ,32.12 ,0.51 ,29.24 ,0.37 ,37.72 ,0.40 ,33.21 ,0.29 ,35.98 ,0.53 ,32.27 ,0.36 ,32.68 ,0.69 ,30.06 ,0.61 ,,6.47,0.018,0,5.38,6.15,97.82,4.29,0
2024年11月01日04时00分00秒,67.68 ,0.52 ,31.72 ,0.19 ,31.51 ,0.63 ,28.40 ,0.47 ,32.12 ,0.50 ,29.25 ,0.37 ,37.75 ,0.40 ,33.30 ,0.29 ,35.90 ,0.53 ,32.30 ,0.36 ,32.71 ,0.69 ,30.14 ,0.61 ,,6.64,0.001,0,5.4,6.29,97.59,4.38,0
2024年11月01日04时15分00秒,65.73 ,0.52 ,31.88 ,0.19 ,31.30 ,0.64 ,28.40 ,0.48 ,31.76 ,0.50 ,29.29 ,0.37 ,37.60 ,0.39 ,33.41 ,0.29 ,36.05 ,0.53 ,32.33 ,0.36 ,32.57 ,0.71 ,30.18 ,0.62 ,,6.64,0.001,0,5.4,6.29,97.59,4.38,0
2024年11月01日04时30分00秒,66.64 ,0.52 ,32.01 ,0.19 ,30.72 ,0.65 ,28.42 ,0.49 ,31.50 ,0.51 ,29.31 ,0.37 ,37.74 ,0.39 ,33.54 ,0.28 ,36.14 ,0.53 ,32.35 ,0.36 ,32.56 ,0.72 ,30.25 ,0.63 ,,6.64,0.001,0,5.4,6.29,97.59,4.38,0
2024年11月01日04时45分00秒,67.21 ,0.52 ,31.98 ,0.19 ,31.43 ,0.61 ,28.38 ,0.46 ,31.56 ,0.51 ,29.29 ,0.37 ,37.42 ,0.41 ,33.65 ,0.31 ,36.28 ,0.53 ,32.42 ,0.36 ,32.04 ,0.72 ,30.21 ,0.64 ,,6.64,0.001,0,5.4,6.29,97.59,4.38,0
2024年11月01日05时00分00秒,67.37 ,0.52 ,32.03 ,0.19 ,31.42 ,0.62 ,28.34 ,0.46 ,32.09 ,0.50 ,29.28 ,0.37 ,37.82 ,0.43 ,33.52 ,0.32 ,36.36 ,0.53 ,32.49 ,0.36 ,32.70 ,0.69 ,30.21 ,0.61 ,,6.95,0.009,0,5.41,6.6,97.66,4.52,0
2024年11月01日05时15分00秒,67.30 ,0.52 ,32.06 ,0.19 ,31.46 ,0.63 ,28.31 ,0.47 ,31.90 ,0.50 ,29.27 ,0.36 ,37.77 ,0.42 ,33.46 ,0.32 ,36.41 ,0.52 ,32.53 ,0.36 ,32.82 ,0.69 ,30.31 ,0.61 ,,6.95,0.009,0,5.41,6.6,97.66,4.52,0
2024年11月01日05时30分00秒,64.99 ,0.52 ,31.84 ,0.19 ,31.23 ,0.64 ,28.30 ,0.48 ,31.92 ,0.51 ,29.27 ,0.37 ,37.53 ,0.42 ,33.51 ,0.31 ,36.16 ,0.53 ,32.59 ,0.37 ,32.65 ,0.71 ,30.30 ,0.62 ,,6.95,0.009,0,5.41,6.6,97.66,4.52,0
2024年11月01日05时45分00秒,67.85 ,0.53 ,32.16 ,0.19 ,30.81 ,0.65 ,28.31 ,0.49 ,32.11 ,0.51 ,29.27 ,0.37 ,37.94 ,0.41 ,33.58 ,0.31 ,36.56 ,0.53 ,32.64 ,0.36 ,32.67 ,0.72 ,30.28 ,0.64 ,,6.95,0.009,0,5.41,6.6,97.66,4.52,0
2024年11月01日06时00分00秒,67.82 ,0.52 ,32.18 ,0.19 ,31.42 ,0.61 ,28.29 ,0.46 ,31.57 ,0.51 ,29.24 ,0.37 ,37.99 ,0.41 ,33.65 ,0.30 ,36.61 ,0.53 ,32.68 ,0.35 ,32.16 ,0.73 ,30.26 ,0.64 ,,7.04,0.01,0,5.91,6.64,97.29,4.56,0
2024年11月01日06时15分00秒,67.82 ,0.53 ,32.14 ,0.19 ,31.43 ,0.62 ,28.27 ,0.46 ,31.72 ,0.51 ,29.26 ,0.38 ,38.00 ,0.41 ,33.61 ,0.30 ,36.65 ,0.53 ,32.71 ,0.37 ,32.87 ,0.69 ,30.27 ,0.61 ,,7.04,0.01,0,5.91,6.64,97.29,4.56,0
2024年11月01日06时30分00秒,70.49 ,0.53 ,32.14 ,0.19 ,31.61 ,0.63 ,28.28 ,0.47 ,32.28 ,0.50 ,29.28 ,0.36 ,38.10 ,0.41 ,33.69 ,0.30 ,36.73 ,0.53 ,32.78 ,0.37 ,33.06 ,0.69 ,30.38 ,0.61 ,,7.04,0.01,0,5.91,6.64,97.29,4.56,0
2024年11月01日06时45分00秒,71.09 ,0.53 ,32.29 ,0.19 ,31.74 ,0.64 ,28.28 ,0.48 ,31.92 ,0.52 ,29.29 ,0.38 ,38.12 ,0.40 ,33.79 ,0.29 ,36.94 ,0.53 ,32.85 ,0.37 ,33.23 ,0.70 ,30.42 ,0.62 ,,7.04,0.01,0,5.91,6.64,97.29,4.56,0
2024年11月01日07时00分00秒,71.10 ,0.56 ,32.10 ,0.18 ,31.32 ,0.65 ,28.31 ,0.49 ,32.56 ,0.51 ,29.35 ,0.37 ,38.00 ,0.40 ,33.87 ,0.29 ,36.39 ,0.52 ,32.88 ,0.36 ,33.12 ,0.72 ,30.46 ,0.64 ,,7.18,0.005,0,5.85,6.76,97.18,4.66,0
2024年11月01日07时15分00秒,70.89 ,0.56 ,32.21 ,0.19 ,31.93 ,0.61 ,28.37 ,0.45 ,32.70 ,0.50 ,29.44 ,0.37 ,38.02 ,0.40 ,33.96 ,0.29 ,36.33 ,0.53 ,32.87 ,0.36 ,32.53 ,0.72 ,30.53 ,0.64 ,,7.18,0.005,0,5.85,6.76,97.18,4.66,0
2024年11月01日07时30分00秒,70.53 ,0.55 ,32.28 ,0.18 ,31.88 ,0.62 ,28.42 ,0.46 ,32.72 ,0.50 ,29.54 ,0.37 ,37.95 ,0.39 ,33.90 ,0.28 ,36.54 ,0.53 ,32.90 ,0.36 ,33.23 ,0.70 ,30.61 ,0.61 ,,7.18,0.005,0,5.85,6.76,97.18,4.66,0
2024年11月01日07时45分00秒,70.66 ,0.55 ,32.36 ,0.18 ,31.93 ,0.63 ,28.47 ,0.47 ,32.34 ,0.51 ,29.61 ,0.37 ,37.87 ,0.43 ,33.84 ,0.32 ,36.54 ,0.53 ,32.88 ,0.37 ,33.29 ,0.69 ,30.65 ,0.61 ,,7.18,0.005,0,5.85,6.76,97.18,4.66,0
2024年11月01日08时00分00秒,70.30 ,0.57 ,32.30 ,0.18 ,32.02 ,0.64 ,28.51 ,0.48 ,32.37 ,0.51 ,29.65 ,0.38 ,37.66 ,0.42 ,33.61 ,0.32 ,36.41 ,0.53 ,32.82 ,0.36 ,32.49 ,0.70 ,30.65 ,0.62 ,,6.86,0.007,0,6.19,6.56,97.92,4.77,86720
2024年11月01日08时15分00秒,69.66 ,0.57 ,32.29 ,0.18 ,31.22 ,0.65 ,28.55 ,0.49 ,32.76 ,0.51 ,29.70 ,0.37 ,37.45 ,0.42 ,33.46 ,0.31 ,36.39 ,0.53 ,32.73 ,0.36 ,32.37 ,0.71 ,30.61 ,0.63 ,,6.86,0.007,0,6.19,6.56,97.92,4.77,86720
2024年11月01日08时30分00秒,69.61 ,0.57 ,32.27 ,0.18 ,32.02 ,0.61 ,28.58 ,0.46 ,32.58 ,0.51 ,29.76 ,0.38 ,37.50 ,0.41 ,33.49 ,0.31 ,36.31 ,0.53 ,32.65 ,0.36 ,31.59 ,0.73 ,30.43 ,0.64 ,,6.86,0.007,0,6.19,6.56,97.92,4.77,86720
2024年11月01日08时45分00秒,69.27 ,0.56 ,32.22 ,0.18 ,32.00 ,0.62 ,28.58 ,0.46 ,32.91 ,0.50 ,29.77 ,0.37 ,37.49 ,0.41 ,33.50 ,0.30 ,36.32 ,0.52 ,32.68 ,0.35 ,31.30 ,0.71 ,30.12 ,0.63 ,,6.86,0.007,0,6.19,6.56,97.92,4.77,86720
2024年11月01日09时00分00秒,68.85 ,0.56 ,32.12 ,0.18 ,31.99 ,0.63 ,28.59 ,0.47 ,32.77 ,0.50 ,29.79 ,0.36 ,37.35 ,0.41 ,33.41 ,0.30 ,36.24 ,0.53 ,32.62 ,0.36 ,31.73 ,0.68 ,29.97 ,0.60 ,,6.51,0.01,0,7.17,6.5,99.94,4.4,307712
2024年11月01日09时15分00秒,69.20 ,0.56 ,32.11 ,0.18 ,31.99 ,0.64 ,28.60 ,0.48 ,32.53 ,0.51 ,29.80 ,0.37 ,37.34 ,0.40 ,33.39 ,0.29 ,36.14 ,0.53 ,32.48 ,0.36 ,31.63 ,0.70 ,29.85 ,0.61 ,,6.51,0.01,0,7.17,6.5,99.94,4.4,307712
2024年11月01日09时30分00秒,69.45 ,0.55 ,32.12 ,0.18 ,31.27 ,0.65 ,28.61 ,0.49 ,32.47 ,0.51 ,29.80 ,0.38 ,37.34 ,0.40 ,33.37 ,0.29 ,36.16 ,0.52 ,32.46 ,0.35 ,31.46 ,0.71 ,29.67 ,0.62 ,,6.51,0.01,0,7.17,6.5,99.94,4.4,307712
2024年11月01日09时45分00秒,69.00 ,0.56 ,31.98 ,0.18 ,32.01 ,0.61 ,28.63 ,0.45 ,32.91 ,0.50 ,29.81 ,0.37 ,36.72 ,0.40 ,33.33 ,0.29 ,36.08 ,0.53 ,32.47 ,0.36 ,31.29 ,0.71 ,29.53 ,0.63 ,,6.51,0.01,0,7.17,6.5,99.94,4.4,307712
2024年11月01日10时00分00秒,68.83 ,0.56 ,31.96 ,0.17 ,32.02 ,0.62 ,28.66 ,0.46 ,32.63 ,0.50 ,29.83 ,0.36 ,36.94 ,0.41 ,33.07 ,0.31 ,36.09 ,0.53 ,32.46 ,0.36 ,30.51 ,0.73 ,29.39 ,0.64 ,,9.26,0.002,0,10.06,7.3,87.53,4.39,725120
2024年11月01日10时15分00秒,69.37 ,0.56 ,31.88 ,0.16 ,32.16 ,0.63 ,28.67 ,0.47 ,32.47 ,0.51 ,29.82 ,0.37 ,36.08 ,0.40 ,32.69 ,0.30 ,36.16 ,0.53 ,32.41 ,0.36 ,30.51 ,0.71 ,29.27 ,0.63 ,,9.26,0.002,0,10.06,7.3,87.53,4.39,725120
2024年11月01日10时30分00秒,69.51 ,0.56 ,31.96 ,0.16 ,32.20 ,0.64 ,28.68 ,0.48 ,32.78 ,0.51 ,29.83 ,0.37 ,36.22 ,0.41 ,32.20 ,0.30 ,35.96 ,0.53 ,32.46 ,0.37 ,31.07 ,0.69 ,29.20 ,0.60 ,,9.26,0.002,0,10.06,7.3,87.53,4.39,725120
2024年11月01日10时45分00秒,69.65 ,0.55 ,32.02 ,0.16 ,31.34 ,0.65 ,28.73 ,0.49 ,32.74 ,0.51 ,29.87 ,0.37 ,37.37 ,0.43 ,31.84 ,0.32 ,35.99 ,0.52 ,32.31 ,0.35 ,30.94 ,0.69 ,29.14 ,0.61 ,,9.26,0.002,0,10.06,7.3,87.53,4.39,725120
2024年11月01日11时00分00秒,69.79 ,0.54 ,31.99 ,0.18 ,32.13 ,0.61 ,28.77 ,0.45 ,32.41 ,0.51 ,29.90 ,0.37 ,37.47 ,0.42 ,31.98 ,0.31 ,35.93 ,0.53 ,32.30 ,0.36 ,30.84 ,0.70 ,29.06 ,0.62 ,,9.65,0.001,0,12.17,7.46,86.21,4.2,1137344
2024年11月01日11时15分00秒,70.39 ,0.54 ,31.96 ,0.18 ,32.17 ,0.62 ,28.80 ,0.46 ,32.51 ,0.51 ,29.91 ,0.38 ,37.42 ,0.42 ,32.02 ,0.28 ,35.77 ,0.55 ,32.35 ,0.35 ,30.76 ,0.72 ,29.02 ,0.63 ,,9.65,0.001,0,12.17,7.46,86.21,4.2,1137344
2024年11月01日11时30分00秒,71.14 ,0.54 ,31.96 ,0.19 ,32.28 ,0.63 ,28.83 ,0.47 ,31.78 ,0.51 ,29.91 ,0.38 ,38.21 ,0.47 ,32.36 ,0.33 ,35.78 ,0.56 ,32.35 ,0.36 ,30.05 ,0.73 ,28.93 ,0.65 ,,9.65,0.001,0,12.17,7.46,86.21,4.2,1137344
2024年11月01日11时45分00秒,70.65 ,0.54 ,32.06 ,0.19 ,32.24 ,0.63 ,28.85 ,0.48 ,32.23 ,0.50 ,29.89 ,0.37 ,38.29 ,0.46 ,32.59 ,0.32 ,35.68 ,0.56 ,32.31 ,0.36 ,30.21 ,0.70 ,28.87 ,0.62 ,,9.65,0.001,0,12.17,7.46,86.21,4.2,1137344
2024年11月01日12时00分00秒,70.70 ,0.54 ,32.24 ,0.19 ,32.14 ,0.64 ,28.90 ,0.48 ,31.90 ,0.50 ,29.71 ,0.36 ,38.53 ,0.46 ,32.88 ,0.32 ,35.72 ,0.56 ,32.33 ,0.36 ,30.70 ,0.69 ,28.88 ,0.61 ,,10.3,0,0,14.68,7.03,80.13,4.51,1552512
2024年11月01日12时15分00秒,70.79 ,0.55 ,32.05 ,0.18 ,32.07 ,0.65 ,28.94 ,0.49 ,31.55 ,0.50 ,29.54 ,0.37 ,37.74 ,0.46 ,33.32 ,0.32 ,36.09 ,0.56 ,32.39 ,0.36 ,30.83 ,0.70 ,28.85 ,0.61 ,,10.3,0,0,14.68,7.03,80.13,4.51,1552512
2024年11月01日12时30分00秒,70.16 ,0.55 ,31.96 ,0.18 ,32.35 ,0.61 ,28.96 ,0.45 ,31.70 ,0.50 ,29.36 ,0.36 ,37.79 ,0.45 ,33.55 ,0.31 ,35.84 ,0.56 ,32.44 ,0.36 ,30.73 ,0.71 ,28.81 ,0.63 ,,10.3,0,0,14.68,7.03,80.13,4.51,1552512
2024年11月01日12时45分00秒,71.41 ,0.55 ,32.03 ,0.18 ,32.49 ,0.62 ,28.98 ,0.47 ,31.68 ,0.50 ,29.27 ,0.37 ,37.98 ,0.45 ,33.65 ,0.31 ,36.23 ,0.56 ,32.48 ,0.36 ,30.65 ,0.72 ,28.81 ,0.64 ,,10.3,0,0,14.68,7.03,80.13,4.51,1552512
2024年11月01日13时00分00秒,72.03 ,0.55 ,31.95 ,0.18 ,32.56 ,0.63 ,29.01 ,0.47 ,31.65 ,0.51 ,29.18 ,0.37 ,37.98 ,0.44 ,33.56 ,0.30 ,36.36 ,0.56 ,32.58 ,0.37 ,30.18 ,0.73 ,28.80 ,0.65 ,,12.81,0,0,15.28,6.46,65.27,4.8,1822528
2024年11月01日13时15分00秒,72.72 ,0.55 ,32.09 ,0.18 ,32.61 ,0.64 ,29.05 ,0.49 ,31.63 ,0.51 ,29.11 ,0.37 ,38.06 ,0.44 ,33.58 ,0.30 ,36.52 ,0.56 ,32.67 ,0.36 ,30.59 ,0.70 ,28.82 ,0.61 ,,12.81,0,0,15.28,6.46,65.27,4.8,1822528
2024年11月01日13时30分00秒,72.73 ,0.55 ,32.13 ,0.18 ,32.04 ,0.65 ,29.12 ,0.49 ,31.30 ,0.51 ,29.06 ,0.37 ,38.12 ,0.44 ,33.64 ,0.30 ,36.61 ,0.56 ,32.76 ,0.36 ,30.92 ,0.69 ,28.88 ,0.61 ,,12.81,0,0,15.28,6.46,65.27,4.8,1822528
2024年11月01日13时45分00秒,72.02 ,0.55 ,32.27 ,0.18 ,32.72 ,0.61 ,29.18 ,0.46 ,30.93 ,0.51 ,29.03 ,0.37 ,38.10 ,0.44 ,33.70 ,0.30 ,36.62 ,0.56 ,32.87 ,0.36 ,30.94 ,0.70 ,28.91 ,0.62 ,,12.81,0,0,15.28,6.46,65.27,4.8,1822528
2024年11月01日14时00分00秒,71.49 ,0.55 ,32.24 ,0.18 ,32.72 ,0.62 ,29.24 ,0.46 ,30.83 ,0.51 ,28.91 ,0.37 ,38.10 ,0.44 ,33.77 ,0.29 ,36.64 ,0.56 ,32.92 ,0.36 ,30.90 ,0.71 ,28.93 ,0.63 ,,13.06,0,0,16.02,6.09,62.61,4.6,1824896
2024年11月01日14时15分00秒,71.06 ,0.55 ,32.27 ,0.18 ,32.75 ,0.63 ,29.28 ,0.47 ,30.81 ,0.52 ,28.92 ,0.38 ,38.11 ,0.43 ,33.83 ,0.29 ,36.61 ,0.56 ,32.89 ,0.36 ,30.30 ,0.73 ,28.94 ,0.64 ,,13.06,0,0,16.02,6.09,62.61,4.6,1824896
2024年11月01日14时30分00秒,70.27 ,0.55 ,32.14 ,0.18 ,32.68 ,0.64 ,29.31 ,0.48 ,30.73 ,0.51 ,28.88 ,0.37 ,38.07 ,0.43 ,33.85 ,0.29 ,36.54 ,0.55 ,32.91 ,0.36 ,30.33 ,0.71 ,28.95 ,0.63 ,,13.06,0,0,16.02,6.09,62.61,4.6,1824896
2024年11月01日14时45分00秒,69.67 ,0.56 ,32.27 ,0.18 ,32.27 ,0.65 ,29.35 ,0.49 ,30.68 ,0.52 ,28.83 ,0.38 ,38.00 ,0.43 ,33.87 ,0.29 ,36.42 ,0.57 ,32.98 ,0.36 ,30.92 ,0.69 ,29.00 ,0.60 ,,13.06,0,0,16.02,6.09,62.61,4.6,1824896
2024年11月01日15时00分00秒,69.84 ,0.58 ,32.23 ,0.18 ,32.85 ,0.62 ,29.38 ,0.46 ,30.70 ,0.51 ,28.79 ,0.38 ,38.05 ,0.47 ,33.87 ,0.32 ,36.71 ,0.56 ,33.01 ,0.35 ,30.99 ,0.70 ,29.02 ,0.61 ,,13,0,0,14.39,6.05,62.67,2.85,952512
2024年11月01日15时15分00秒,69.75 ,0.58 ,32.11 ,0.18 ,32.85 ,0.62 ,29.38 ,0.47 ,30.65 ,0.51 ,28.73 ,0.38 ,37.76 ,0.45 ,33.62 ,0.31 ,36.64 ,0.55 ,32.95 ,0.35 ,30.97 ,0.71 ,29.00 ,0.63 ,,13,0,0,14.39,6.05,62.67,2.85,952512
2024年11月01日15时30分00秒,69.56 ,0.56 ,32.02 ,0.18 ,32.73 ,0.63 ,29.40 ,0.47 ,30.71 ,0.51 ,28.69 ,0.37 ,37.60 ,0.45 ,33.45 ,0.31 ,36.12 ,0.57 ,32.80 ,0.36 ,30.74 ,0.72 ,29.01 ,0.64 ,,13,0,0,14.39,6.05,62.67,2.85,952512
2024年11月01日15时45分00秒,68.66 ,0.55 ,31.94 ,0.18 ,32.59 ,0.64 ,29.43 ,0.48 ,30.83 ,0.51 ,28.56 ,0.37 ,37.60 ,0.43 ,33.55 ,0.29 ,36.07 ,0.56 ,32.83 ,0.36 ,30.24 ,0.72 ,29.01 ,0.64 ,,13,0,0,14.39,6.05,62.67,2.85,952512
2024年11月01日16时00分00秒,67.85 ,0.55 ,31.95 ,0.18 ,31.79 ,0.65 ,29.44 ,0.49 ,30.35 ,0.51 ,28.42 ,0.38 ,36.90 ,0.46 ,33.45 ,0.32 ,35.99 ,0.57 ,32.85 ,0.37 ,30.76 ,0.69 ,29.02 ,0.61 ,,12.37,0,0,12.98,6.2,66,2.35,619264
2024年11月01日16时15分00秒,67.37 ,0.53 ,32.07 ,0.16 ,32.52 ,0.61 ,29.42 ,0.45 ,30.43 ,0.51 ,28.40 ,0.37 ,37.26 ,0.46 ,33.38 ,0.32 ,36.15 ,0.56 ,32.81 ,0.35 ,30.77 ,0.69 ,29.01 ,0.61 ,,12.37,0,0,12.98,6.2,66,2.35,619264
2024年11月01日16时30分00秒,67.17 ,0.51 ,31.90 ,0.18 ,32.29 ,0.62 ,29.37 ,0.46 ,30.01 ,0.51 ,28.31 ,0.38 ,37.55 ,0.46 ,33.23 ,0.32 ,35.92 ,0.56 ,32.74 ,0.36 ,31.59 ,0.70 ,28.98 ,0.62 ,,12.37,0,0,12.98,6.2,66,2.35,619264
2024年11月01日16时45分00秒,66.61 ,0.52 ,31.82 ,0.19 ,32.20 ,0.62 ,29.32 ,0.46 ,30.00 ,0.50 ,28.22 ,0.37 ,37.48 ,0.46 ,33.12 ,0.31 ,35.81 ,0.56 ,32.66 ,0.36 ,31.66 ,0.71 ,29.00 ,0.63 ,,12.37,0,0,12.98,6.2,66,2.35,619264
2024年11月01日17时00分00秒,66.42 ,0.53 ,31.63 ,0.19 ,32.13 ,0.63 ,29.26 ,0.47 ,30.20 ,0.50 ,28.13 ,0.37 ,37.46 ,0.44 ,33.11 ,0.30 ,35.72 ,0.56 ,32.58 ,0.36 ,31.54 ,0.72 ,29.11 ,0.64 ,,12.11,0,0,9.44,6.59,68.96,1.6,300160
2024年11月01日17时15分00秒,68.39 ,0.53 ,31.66 ,0.20 ,32.21 ,0.63 ,29.17 ,0.48 ,29.88 ,0.51 ,28.03 ,0.37 ,37.81 ,0.44 ,33.19 ,0.30 ,35.72 ,0.56 ,32.50 ,0.36 ,31.54 ,0.72 ,29.41 ,0.63 ,,12.11,0,0,9.44,6.59,68.96,1.6,300160
2024年11月01日17时30分00秒,68.51 ,0.54 ,31.63 ,0.20 ,32.01 ,0.64 ,29.10 ,0.49 ,29.67 ,0.51 ,27.93 ,0.37 ,37.88 ,0.44 ,33.25 ,0.30 ,35.80 ,0.56 ,32.44 ,0.36 ,32.42 ,0.69 ,29.61 ,0.61 ,,12.11,0,0,9.44,6.59,68.96,1.6,300160
